CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0090,รางลิ้นชักแบบสองตอน Soft Close 450mm HA#432.20.934,,HAFELE,672.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0091,รางลิ้นชักแบบสองตอน Soft Close 500mm HA#432.20.935,,HAFELE,686.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0092,ล้อบานเลื่อน(ไนล่อนABS) ชนิดตลับลูกปืน 25mmx25mm,,ไท ไทยมาร์ท,125.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0093,รางลิ้นชักแบบสองตอน Soft Close + กดกระเด้ง 450mm HA#432.20.983,,HAFELE,822.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0094,บานพับในขอบ 107องศา ปิดนุ่มนวล สีOnyx Black BLUM# รหัส ONS.75B1750,,บลู อินเตอร์เนชั่นแนล จำกัด,200.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0095,สกรูปลายสว่าน หัวF6x1/2-(L13mm) - สีรุ้ง -,,,0.18,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0096,สกรูปลายสว่าน หัวF6x5/8-(L16mm) - สีรุ้ง -,,,,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0097,สกรูปลายสว่านมีปีก หัวF7x1(L25mm) - สีเงิน -PS#TFSDW-710,,,0.50,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0098,สกรูปลายสว่าน หัวF8x1-(L25mm) - สีรุ้ง -,,,0.51,0,,,43900,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0099,สกรูปลายสว่าน หัวF8x2-(L50mm) - สีรุ้ง -,,,,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0100,สกรูปลายสว่าน หัวF8x3-(L75mm) - สีรุ้ง -,,,0.86,0,,,8300,,,,,,,,,,,,,,,
