CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,
DA,Board,DA0102,"ไม้HMR 18mm-ผิวฟิล์ม TIN-029K 2หน้า 1220x2440 mm. (4""x8"")",,บริษัท ควอลิตี้ลามิเนเตอร์ จำกัด,115.00,0,,,,,,,
DA,Board,DA0103,รอเปลี่ยน,,บริษัท ลานนาไม้อัดไทย จำกัด,406.54,0,,,,,,,
DA,Board,DA0104,"ไม้HMR 25mm-ผิวฟิล์ม TIN-029K 2หน้า 1220x2440 mm. (4""x8"")",,บริษัท ควอลิตี้ลามิเนเตอร์ จำกัด,120.00,0,,,,,,,
DA,Board,DA0105,"ไม้ HMR12mm-เมลามีน MKW1125-11 2 หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1080.00,0,,,,,,,
DA,Board,DA0106,"ไม้ HMR15mm-เมลามีน MKW1125-11 2 หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,,0,,,,,,,
DA,Board,DA0107,"ไม้ HMR18mm-เมลามีน MKW1125-11 2 หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,745.00,0,,,,,,,
DA,Board,DA0108,"ไม้ HMR6mm-เมลามีน MD635 2 หน้า 6x1200x2400mm. (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,705.00,0,,,,,,,
DA,Board,DA0109,"ไม้ HMR18mm-เมลามีน MD635 2 หน้า 18x1200x2400mm. (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,900.00,0,,,,,,,
DA,Board,DA0110,"ไม้ MDF18mm-เมลามีน MD404 2 หน้า 18x1200x2400mm. (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,900.00,0,,,,,,,
DA,Board,DA0111,"ไม้ MDF18mm-เมลามีน MD645 2 หน้า 18x1200x2400mm. (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,900.00,0,,,,,,,
DA,Board,DA0112,"ไม้ปาติเกิล PB9mm-เมลามีน MD206 2 หน้า 1800x2400mm (6""x8"")",,เมโทร ปาร์ติเกิล จำกัด POF221221-007,925.00,0,,,,,,,
DA,Board,DA0113,"ไม้ปาติเกิล PB12mm-เมลามีน MD206 2 หน้า 1800x2400mm (6""x8"")",,เมโทร ปาร์ติเกิล จำกัด POF221221-007,945.00,0,,,,,,,
