CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DF,Finishing,DF0098,"ลามิเนต 0.7mm lamitak HPL-WGA852-S-0.7x1200x2400mm (4""x8"")",, บริษัท รุ่งสมบัติ (2528) จำกัด,901.87,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0099,"ลามิเนต 0.8mm FINESS HPL-SSF1399 DM-0.8x1200x2400mm (4""x8"")",,บริษัท สยาม สไตแลม จำกัด,1200.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0100,"ลามิเนต 0.8mm Wilsonart 4071 MN-0.8x1200x2400mm (4""x8"")",,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0101,"ลามิเนต 0.8mm Wilsonart 4071 MN 335-0.8x1200x2400mm (4""x8"")",,สุขสวัสดิ์ไม้อัดไทย จำกัด,1088.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0102,"ลามิเนต 0.8mm Wilsonart 4128 WM 335-0.8x1200x2400mm (4""x8"")",,สุขสวัสดิ์ไม้อัดไทย จำกัด,1088.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0103,"ลามิเนต 0.8mm Wilsonart 4410 WM 335-0.8x1200x2400mm (4""x8"")",,สุขสวัสดิ์ไม้อัดไทย จำกัด,1088.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0104,"ลามิเนต 0.8mm Wilsonart 4047 WM 335-0.8x1200x2400mm (4""x8"")",,สุขสวัสดิ์ไม้อัดไทย จำกัด,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0105,"ลามิเนต 0.8mm ลามิเนต-HPL-P-0459-UN-0.8x1200x2400mm (4""x8"")",, บริษัท แสงเจริญเฮ้าส์ซิ่งโปรดักส์,695.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0106,"ลามิเนต 0.8mm ลามิเนต-HPL-EDL DA 9280C-0.8x1200x2400mm (4""x8"")",,บริษัท อีดีแอล ลามิเนตส์ จำกัด,1700.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0107,"ลามิเนต 0.8mm ลามิเนต-HPL-PP 1040 UN-0.8x1200x2400mm (4""x8"")",, บริษัท รุ่งสมบัติ (2528) จำกัด,870.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0108,"ลามิเนต 0.7mm lamitak HPL-DXP 1363K-0.7x1200x2400mm (4""x8"")",,บริษัท ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,1800.00,,,,,,,,,,,,,,,,,,,
